TEAM_ID,SEASON,GAME_TYPE,TEAM_NAME,TEAM_CITY,TEAM_NAME,TIME_OF_POSS,AVG_SEC_PER_TOUCH
1610612737,2013,Regular Season,Atlanta Hawks,Atlanta,Hawks,20.4,2.79
1610612738,2013,Regular Season,Boston Celtics,Boston,Celtics,21,3.02
1610612751,2013,Regular Season,Brooklyn Nets,Brooklyn,Nets,21.2,3.14
1610612766,2013,Regular Season,Charlotte Bobcats,Charlotte,Bobcats,21.3,2.91
1610612741,2013,Regular Season,Chicago Bulls,Chicago,Bulls,21.8,3
1610612739,2013,Regular Season,Cleveland Cavaliers,Cleveland,Cavaliers,20.9,3.01
1610612742,2013,Regular Season,Dallas Mavericks,Dallas,Mavericks,21.2,2.97
1610612743,2013,Regular Season,Denver Nuggets,Denver,Nuggets,20.1,3.12
1610612765,2013,Regular Season,Detroit Pistons,Detroit,Pistons,20.8,3.27
1610612744,2013,Regular Season,Golden State Warriors,Golden State,Warriors,20.2,3.32
1610612745,2013,Regular Season,Houston Rockets,Houston,Rockets,20.2,2.93
1610612754,2013,Regular Season,Indiana Pacers,Indiana,Pacers,21.6,3.12
1610612746,2013,Regular Season,Los Angeles Clippers,Los Angeles,Clippers,19.8,2.8
1610612747,2013,Regular Season,Los Angeles Lakers,Los Angeles,Lakers,19.8,2.79
1610612763,2013,Regular Season,Memphis Grizzlies,Memphis,Grizzlies,21.9,3.1
1610612748,2013,Regular Season,Miami Heat,Miami,Heat,20.9,3.09
1610612749,2013,Regular Season,Milwaukee Bucks,Milwaukee,Bucks,21.3,2.9
1610612750,2013,Regular Season,Minnesota Timberwolves,Minnesota,Timberwolves,20.9,2.94
1610612740,2013,Regular Season,New Orleans Pelicans,New Orleans,Pelicans,21.6,3.33
1610612752,2013,Regular Season,New York Knicks,New York,Knicks,21.5,3.27
1610612760,2013,Regular Season,Oklahoma City Thunder,Oklahoma City,Thunder,20.4,3.21
1610612753,2013,Regular Season,Orlando Magic,Orlando,Magic,21.5,3.18
1610612755,2013,Regular Season,Philadelphia 76ers,Philadelphia,76ers,19.7,2.76
1610612756,2013,Regular Season,Phoenix Suns,Phoenix,Suns,20.8,3.14
1610612757,2013,Regular Season,Portland Trail Blazers,Portland,Trail Blazers,21.2,3.05
1610612758,2013,Regular Season,Sacramento Kings,Sacramento,Kings,21.7,3.36
1610612759,2013,Regular Season,San Antonio Spurs,San Antonio,Spurs,20.5,2.74
1610612761,2013,Regular Season,Toronto Raptors,Toronto,Raptors,21.9,3.16
1610612762,2013,Regular Season,Utah Jazz,Utah,Jazz,21.7,2.98
1610612764,2013,Regular Season,Washington Wizards,Washington,Wizards,20.7,2.86
1610612737,2014,Regular Season,Atlanta Hawks,Atlanta,Hawks,20.4,2.77
1610612738,2014,Regular Season,Boston Celtics,Boston,Celtics,20.1,2.84
1610612751,2014,Regular Season,Brooklyn Nets,Brooklyn,Nets,21.2,3.26
1610612766,2014,Regular Season,Charlotte Hornets,Charlotte,Hornets,21.3,3.05
1610612741,2014,Regular Season,Chicago Bulls,Chicago,Bulls,21.3,3.02
1610612739,2014,Regular Season,Cleveland Cavaliers,Cleveland,Cavaliers,21.3,3.14
1610612742,2014,Regular Season,Dallas Mavericks,Dallas,Mavericks,20.5,2.86
1610612743,2014,Regular Season,Denver Nuggets,Denver,Nuggets,20.6,3.19
1610612765,2014,Regular Season,Detroit Pistons,Detroit,Pistons,21.2,3.25
1610612744,2014,Regular Season,Golden State Warriors,Golden State,Warriors,19.7,2.67
1610612745,2014,Regular Season,Houston Rockets,Houston,Rockets,20.4,2.91
1610612754,2014,Regular Season,Indiana Pacers,Indiana,Pacers,22,3.06
1610612746,2014,Regular Season,Los Angeles Clippers,Los Angeles,Clippers,20.4,2.98
1610612747,2014,Regular Season,Los Angeles Lakers,Los Angeles,Lakers,22,3.39
1610612763,2014,Regular Season,Memphis Grizzlies,Memphis,Grizzlies,21.5,3.03
1610612748,2014,Regular Season,Miami Heat,Miami,Heat,21.6,3.1
1610612749,2014,Regular Season,Milwaukee Bucks,Milwaukee,Bucks,20.3,3
1610612750,2014,Regular Season,Minnesota Timberwolves,Minnesota,Timberwolves,21.1,3.17
1610612740,2014,Regular Season,New Orleans Pelicans,New Orleans,Pelicans,22,3.41
1610612752,2014,Regular Season,New York Knicks,New York,Knicks,21.5,2.69
1610612760,2014,Regular Season,Oklahoma City Thunder,Oklahoma City,Thunder,20.7,3.14
1610612753,2014,Regular Season,Orlando Magic,Orlando,Magic,20.6,3.11
1610612755,2014,Regular Season,Philadelphia 76ers,Philadelphia,76ers,20.8,2.78
1610612756,2014,Regular Season,Phoenix Suns,Phoenix,Suns,20.4,2.99
1610612757,2014,Regular Season,Portland Trail Blazers,Portland,Trail Blazers,21.4,3.16
1610612758,2014,Regular Season,Sacramento Kings,Sacramento,Kings,21.5,3.18
1610612759,2014,Regular Season,San Antonio Spurs,San Antonio,Spurs,21.3,2.77
1610612761,2014,Regular Season,Toronto Raptors,Toronto,Raptors,21.7,3.31
1610612762,2014,Regular Season,Utah Jazz,Utah,Jazz,21.4,2.68
1610612764,2014,Regular Season,Washington Wizards,Washington,Wizards,20.9,3
1610612737,2015,Regular Season,Atlanta Hawks,Atlanta,Hawks,20,2.72
1610612738,2015,Regular Season,Boston Celtics,Boston,Celtics,19.7,2.69
1610612751,2015,Regular Season,Brooklyn Nets,Brooklyn,Nets,20.9,3.07
1610612766,2015,Regular Season,Charlotte Hornets,Charlotte,Hornets,21,3.04
1610612741,2015,Regular Season,Chicago Bulls,Chicago,Bulls,20.8,2.91
1610612739,2015,Regular Season,Cleveland Cavaliers,Cleveland,Cavaliers,21.6,3.13
1610612742,2015,Regular Season,Dallas Mavericks,Dallas,Mavericks,21.7,2.9
1610612743,2015,Regular Season,Denver Nuggets,Denver,Nuggets,21.2,3.1
1610612765,2015,Regular Season,Detroit Pistons,Detroit,Pistons,21,3.28
1610612744,2015,Regular Season,Golden State Warriors,Golden State,Warriors,19.4,2.6
1610612745,2015,Regular Season,Houston Rockets,Houston,Rockets,20,2.93
1610612754,2015,Regular Season,Indiana Pacers,Indiana,Pacers,21.1,2.98
1610612746,2015,Regular Season,Los Angeles Clippers,Los Angeles,Clippers,21,3.11
1610612747,2015,Regular Season,Los Angeles Lakers,Los Angeles,Lakers,21.4,3.27
1610612763,2015,Regular Season,Memphis Grizzlies,Memphis,Grizzlies,21.7,3.07
1610612748,2015,Regular Season,Miami Heat,Miami,Heat,21.7,3.14
1610612749,2015,Regular Season,Milwaukee Bucks,Milwaukee,Bucks,20.7,3.05
1610612750,2015,Regular Season,Minnesota Timberwolves,Minnesota,Timberwolves,21.1,3.16
1610612740,2015,Regular Season,New Orleans Pelicans,New Orleans,Pelicans,20.4,2.97
1610612752,2015,Regular Season,New York Knicks,New York,Knicks,21,2.75
1610612760,2015,Regular Season,Oklahoma City Thunder,Oklahoma City,Thunder,20.6,3.25
1610612753,2015,Regular Season,Orlando Magic,Orlando,Magic,20.8,2.94
1610612755,2015,Regular Season,Philadelphia 76ers,Philadelphia,76ers,21.4,2.85
1610612756,2015,Regular Season,Phoenix Suns,Phoenix,Suns,20.5,2.83
