TEAM_ID,TEAM_NAME,TIME_OF_POSS,AVG_SEC_PER_TOUCH,SEASON,GAME_TYPE
1610612737,Atlanta Hawks,20.4,2.79,2013-14,Regular Season
1610612738,Boston Celtics,21.0,3.02,2013-14,Regular Season
1610612751,Brooklyn Nets,21.2,3.14,2013-14,Regular Season
1610612766,Charlotte Bobcats,21.3,2.91,2013-14,Regular Season
1610612741,Chicago Bulls,21.8,3.0,2013-14,Regular Season
1610612739,Cleveland Cavaliers,20.9,3.01,2013-14,Regular Season
1610612742,Dallas Mavericks,21.2,2.97,2013-14,Regular Season
1610612743,Denver Nuggets,20.1,3.12,2013-14,Regular Season
1610612765,Detroit Pistons,20.8,3.27,2013-14,Regular Season
1610612744,Golden State Warriors,20.2,3.32,2013-14,Regular Season
1610612745,Houston Rockets,20.2,2.93,2013-14,Regular Season
1610612754,Indiana Pacers,21.6,3.12,2013-14,Regular Season
1610612746,Los Angeles Clippers,19.8,2.8,2013-14,Regular Season
1610612747,Los Angeles Lakers,19.8,2.79,2013-14,Regular Season
1610612763,Memphis Grizzlies,21.9,3.1,2013-14,Regular Season
1610612748,Miami Heat,20.9,3.09,2013-14,Regular Season
1610612749,Milwaukee Bucks,21.3,2.9,2013-14,Regular Season
1610612750,Minnesota Timberwolves,20.9,2.94,2013-14,Regular Season
1610612740,New Orleans Pelicans,21.6,3.33,2013-14,Regular Season
1610612752,New York Knicks,21.5,3.27,2013-14,Regular Season
1610612760,Oklahoma City Thunder,20.4,3.21,2013-14,Regular Season
1610612753,Orlando Magic,21.5,3.18,2013-14,Regular Season
1610612755,Philadelphia 76ers,19.7,2.76,2013-14,Regular Season
1610612756,Phoenix Suns,20.8,3.14,2013-14,Regular Season
1610612757,Portland Trail Blazers,21.2,3.05,2013-14,Regular Season
1610612758,Sacramento Kings,21.7,3.36,2013-14,Regular Season
1610612759,San Antonio Spurs,20.5,2.74,2013-14,Regular Season
1610612761,Toronto Raptors,21.9,3.16,2013-14,Regular Season
1610612762,Utah Jazz,21.7,2.98,2013-14,Regular Season
1610612764,Washington Wizards,20.7,2.86,2013-14,Regular Season
1610612737,Atlanta Hawks,20.4,2.77,2014-15,Regular Season
1610612738,Boston Celtics,20.1,2.84,2014-15,Regular Season
1610612751,Brooklyn Nets,21.2,3.26,2014-15,Regular Season
1610612766,Charlotte Hornets,21.3,3.05,2014-15,Regular Season
1610612741,Chicago Bulls,21.3,3.02,2014-15,Regular Season
1610612739,Cleveland Cavaliers,21.3,3.14,2014-15,Regular Season
1610612742,Dallas Mavericks,20.5,2.86,2014-15,Regular Season
1610612743,Denver Nuggets,20.6,3.19,2014-15,Regular Season
1610612765,Detroit Pistons,21.2,3.25,2014-15,Regular Season
1610612744,Golden State Warriors,19.7,2.67,2014-15,Regular Season
